Date,Description,Amount,Balance,Type
2026-06-01,PAYROLL DIRECT DEPOSIT EMPLOYER INC,2450.00,5210.34,Credit
2026-06-02,NETFLIX.COM 8668797490 CA,-15.49,5194.85,Debit
2026-06-02,SPOTIFY USA NEW YORK NY,-10.99,5183.86,Debit
2026-06-03,TRADER JOES #145 SEATTLE WA,-86.altered,5097.00,Debit
2026-06-03,TRADER JOES #145 SEATTLE WA,-86.12,5097.74,Debit
2026-06-05,SHELL OIL 5742 BELLEVUE WA,-52.40,5045.34,Debit
2026-06-06,AMAZON PRIME*RT4G9 AMZN.COM WA,-14.99,5030.35,Debit
2026-06-07,STARBUCKS STORE 09812 SEATTLE,-6.75,5023.60,Debit
2026-06-09,PUGET SOUND ENERGY BILLPAY,-112.34,4911.26,Debit
2026-06-10,COMCAST XFINITY 800-COMCAST,-89.99,4821.27,Debit
2026-06-12,WHOLE FOODS MKT 10283 SEATTLE,-124.58,4696.69,Debit
2026-06-12,VENMO PAYMENT FROM J SMITH,75.00,4771.69,Credit
2026-06-14,UBER TRIP HELP.UBER.COM CA,-23.10,4748.59,Debit
2026-06-15,PLANET FITNESS CLUB FEES,-24.99,4723.60,Debit
2026-06-16,APPLE.COM/BILL 866-712-7753 CA,-2.99,4720.61,Debit
2026-06-18,COSTCO WHSE #0117 SEATTLE WA,-218.44,4502.17,Debit
2026-05-01,PAYROLL DIRECT DEPOSIT EMPLOYER INC,2450.00,4102.00,Credit
2026-05-02,NETFLIX.COM 8668797490 CA,-15.49,4086.51,Debit
2026-05-02,SPOTIFY USA NEW YORK NY,-10.99,4075.52,Debit
2026-05-06,AMAZON PRIME*KT2P1 AMZN.COM WA,-14.99,4060.53,Debit
2026-05-09,PUGET SOUND ENERGY BILLPAY,-118.07,3942.46,Debit
2026-05-10,COMCAST XFINITY 800-COMCAST,-89.99,3852.47,Debit
2026-05-15,PLANET FITNESS CLUB FEES,-24.99,3827.48,Debit
2026-05-16,APPLE.COM/BILL 866-712-7753 CA,-2.99,3824.49,Debit
2026-05-20,DELTA AIR 0061234567890 ATL,-342.20,3482.29,Debit
2026-04-02,NETFLIX.COM 8668797490 CA,-13.99,3900.00,Debit
2026-04-02,SPOTIFY USA NEW YORK NY,-10.99,3889.01,Debit
2026-04-06,AMAZON PRIME*MN8R4 AMZN.COM WA,-14.99,3874.02,Debit
2026-04-10,COMCAST XFINITY 800-COMCAST,-89.99,3784.03,Debit
2026-04-15,PLANET FITNESS CLUB FEES,-24.99,3759.04,Debit
2026-04-22,ACME UNKNOWN BILLING LLC,-49.00,3710.04,Debit
2026-03-22,ACME UNKNOWN BILLING LLC,-49.00,3661.04,Debit
2026-02-22,ACME UNKNOWN BILLING LLC,-49.00,3612.04,Debit
